Name,Age,Gender,Class/Dept,Joined,Occupation,Survived,Nationality
"BIGGS, Mr Edward Charles",20,Male,Engineering,Southampton,Fireman,0,English
"BILLOWS, Mr James",20,Male,Engineering,Southampton,Trimmer,0,English
"BINSTEAD, Mr Walter William",20,Male,Engineering,Southampton,Trimmer,1,English
"BISHOP, Mr Walter Alexander",34,Male,Victualling,Belfast,1st Class Bedroom Steward,0,English
"BLACK, Mr Alexander",28,Male,Engineering,Southampton,Fireman,0,English
"BLACK, Mr D.",41,Male,Engineering,Southampton,Fireman,0,Scottish
"BLACKMAN, Mr Albert Edward",23,Male,Engineering,Southampton,Fireman,0,English
"BLADES, Mr Frederick Charles",17,Male,Victualling,Southampton,Lift Steward,0,English
"BLAKE, Mr John Douglas Stanley George",26,Male,Engineering,Belfast,Mess Steward,0,English
"BLAKE, Mr Percival Albert",22,Male,Engineering,Southampton,Trimmer,1,English
"BLAKE, Mr Thomas Henry",36,Male,Engineering,Southampton,Fireman,0,English
"BLANEY, Mr James",32,Male,Engineering,Southampton,Fireman,0,Irish
"BLANN, Mr Eustace Horatius",21,Male,Engineering,Southampton,Fireman,0,English
"BLISS, Mrs Emma",45,Female,Victualling,Southampton,Stewardess,1,Swiss
"BLUMET, Mr Jean Baptiste",26,Male,Restaurant,Southampton,Pantryman,0,French
"BOCHATAY, Mr Alexis Joseph",30,Male,Victualling,Southampton,Chef,0,Swiss
"BOCHET, Mr Pietro Giuseppe",43,Male,Restaurant,Southampton,Waiter,0,Italian
"BOGIE, Mr Norman Leslie",59,Male,Victualling,Southampton,2nd Class Bedroom Steward,0,Scottish
"BOLHUIS, Mr Hendrik",27,Male,Restaurant,Southampton,Larder Cook,0,Dutch
"BOND, Mr William John",45,Male,Victualling,Belfast,Bed Room Steward,0,English
"BOOTHBY, Mr Walter Thomas",37,Male,Victualling,Southampton,2nd Class Bedroom Steward,0,English
"BOSTON, Mr William John",32,Male,Victualling,Belfast,Assistant Deck Steward (1st Class),0,English
"BOTT, Mr William Thomas",46,Male,Engineering,Southampton,Greaser,0,English
"BOUGHTON, Mr Bernard John",24,Male,Victualling,Southampton,First class saloon steward,0,English
"BOWKER, Miss Ruth Harwood",31,Female,Restaurant,Southampton,Cashier,1,English
"BOXHALL, Mr Joseph Groves",28,Male,Deck Officers,Belfast,4th. Officer,1,English
"BOYD, Mr John",37,Male,Victualling,Southampton,Saloon Steward (1st class),0,English
"BOYES, Mr John Henry",36,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"BRADLEY, Mr Patrick Joseph",38,Male,Engineering,Southampton,Fireman,0,Scottish
"BRADLEY, Mr Thomas Henry",28,Male,Deck,Southampton,Able Seaman,0,English
"BRADSHAW, Mr John Albert Perkin",42,Male,Victualling,Southampton,Plate Steward (1st Class),0,English
"BREWER, Mr Harry",30,Male,Engineering,Southampton,Trimmer,0,English
"BREWSTER, Mr George Henry",52,Male,Victualling,Belfast,Bedroom Steward (1st Class),0,English
"BRIANT, Mr Albert",34,Male,Engineering,Southampton,Greaser,0,English
"BRIANT, Mr Arthur",30,Male,Engineering,Southampton,Greaser,0,English
"BRICE, Mr Walter Thomas",42,Male,Deck,Southampton,Able Seaman,1,English
"BRIDE, Mr Harold Sydney",22,Male,Victualling,Belfast,Assistant Telegraphist,1,English
"BRIGHT, Mr Arthur John",42,Male,Deck,Belfast,Quartermaster,1,English
"BRISTOW, Mr Harry",38,Male,Victualling,Southampton,Saloon Steward,0,English
"BRISTOW, Mr Robert Charles",38,Male,Victualling,Southampton,3rd Class Steward,0,Irish
"BROOKMAN, Mr John Cress",28,Male,Victualling,Southampton,3rd Class Steward,0,English
"BROOKS, Mr J.",25,Male,Engineering,Southampton,Trimmer,0,English
"BROOM, Mr Herbert George",33,Male,Victualling,Belfast,Bath Steward,0,English
"BROOME, Mr Athol Frederick",31,Male,Victualling,Southampton,Verandah Steward (1st Class),0,English
"BROWN, Mr Edward",34,Male,Victualling,Belfast,Saloon Steward,1,Welsh
"BROWN, Mr John",28,Male,Engineering,Southampton,Fireman,0,Welsh
"BROWN, Mr Joseph",30,Male,Engineering,Southampton,Fireman,0,English
"BROWN, Mr Walter James",41,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"BUCKLEY, Mr H. E.",34,Male,Victualling,Southampton,Assistant Vegetable Cook,0,English
"BULEY, Mr Edward John",26,Male,Deck,Southampton,Able Seaman,1,English
"BULL, Mr Walter Edward",36,Male,Victualling,Southampton,Scullion,0,English
"BULLEY, Mr Henry Ashburnham",21,Male,Victualling,Southampton,Boots Steward (2nd class),0,English
"BUNNELL, Mr Wilfred James",20,Male,Victualling,Belfast,Plate Steward,0,English
"BURGESS, Mr Charles",18,Male,Victualling,Southampton,Extra 3rd. Baker,1,English
"BURKE, Mr Richard Edward",29,Male,Victualling,Belfast,Lounge Steward (1st class),0,English
"BURKE, Mr William",39,Male,Victualling,Belfast,Saloon Steward,1,Irish
"BURR, Mr Ewart Sydenham",29,Male,Victualling,Southampton,Saloon Steward (1st class),0,English
"BURRAGE, Mr Arthur Victor Edwards",20,Male,Victualling,Southampton,Plate Steward,1,English
"BURROUGHS, Mr Arthur Peckham",34,Male,Engineering,Southampton,Fireman,0,English
"BURTON, Mr Edward John",35,Male,Engineering,Southampton,Fireman,0,English
"BUTT, Mr Robert Henry",21,Male,Victualling,Southampton,Saloon Steward,0,English
"BUTT, Mr William John",30,Male,Engineering,Southampton,Fireman,0,English
"BUTTERWORTH, Mr John",23,Male,Victualling,Southampton,Saloon Steward,0,English
"BYRNE, Mr James Edward",44,Male,Victualling,Southampton,Bedroom Steward (2nd Class),0,English
"CALDERWOOD, Mr Hugh",33,Male,Engineering,Belfast,Trimmer,0,Irish
"CAMPBELL, Mr Donald Samuel",28,Male,Victualling,Southampton,3rd Class Clerk,0,Australian
"CANNER, Mr John",40,Male,Engineering,Southampton,Fireman,0,English
"CARNEY, Mr William",31,Male,Victualling,Southampton,Lift Steward,0,Welsh
"CARR, Mr Richard Stephen",27,Male,Engineering,Southampton,Trimmer,0,English
"CARTER, Mr James",46,Male,Engineering,Southampton,Fireman,0,English
"CARTWRIGHT, Mr James Edward",33,Male,Victualling,Belfast,Saloon Steward,0,English
"CASALI, Sig. Giulio",32,Male,Restaurant,Southampton,Waiter,0,Italian
"CASEY, Mr Thomas",44,Male,Engineering,Southampton,Trimmer,0,English
"CASSWILL, Mr Charles",34,Male,Victualling,Southampton,Saloon Steward,0,English
"CASTLEMAN, Mr Edward",37,Male,Engineering,Southampton,Greaser,0,English
"CATON, Miss Annie",33,Female,Victualling,Southampton,Turkish Bath Stewardess,1,English
"CAUNT, Mr William Ewart",28,Male,Victualling,Southampton,Grill Cook,0,English
"CAVE, Mr Herbert",39,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"CAVELL, Mr George Henry",22,Male,Engineering,Southampton,Trimmer,1,English
"CECIL, Mr Charles Thomas",21,Male,Victualling,Southampton,Steward,0,English
"CHABOISSON, Mr Adrien Firmin",25,Male,Restaurant,Southampton,Roast Cook,0,French
"CHAPMAN, Mr Joseph Charles",32,Male,Victualling,Southampton,"Boots steward, 2nd class",1,English
"CHARMAN, Mr John James",25,Male,Victualling,Southampton,Saloon Steward (2nd class),0,English
"CHERRETT, Mr William Victor",24,Male,Engineering,Southampton,Fireman,0,English
"CHEVERTON, Mr William Frederick",27,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"CHISNALL, Mr George Alexander",36,Male,Engineering,Belfast,Boilermaker,0,English
"CHITTY, Mr Archibald George",28,Male,Victualling,Southampton,Third Class Steward,0,English
"CHITTY, Mr George Henry",50,Male,Victualling,Southampton,Baker,0,English
"CHORLEY, Mr John Henry",25,Male,Engineering,Southampton,Fireman,0,English
"CHRISTMAS, Mr Herbert Harry",34,Male,Victualling,Southampton,Assistant Saloon Steward (2nd class),0,English
"CLARK, Mr William",40,Male,Engineering,Southampton,Fireman,1,Irish
"CLENCH, Mr Frederick Charles",33,Male,Deck,Southampton,Able Seaman,1,English
"CLENCH, Mr George James",31,Male,Deck,Southampton,Able Seaman,0,English
"COE, Mr Harry",21,Male,Engineering,Southampton,Trimmer,0,English
"COLEMAN, Mr Albert Edward",28,Male,Victualling,Southampton,Saloon Steward (1st class),0,English
"COLEMAN, Mr John",57,Male,Engineering,Belfast,Engineers' Mess steward,0,Irish
"COLGAN, Mr E. Joseph",33,Male,Victualling,Southampton,Scullion,1,Irish
"COLLINS, Mr John",17,Male,Victualling,Southampton,Scullion,1,Irish
"COLLINS, Mr John",38,Male,Engineering,Southampton,Fireman,1,English
"COMBES, Mr George",34,Male,Engineering,Southampton,Fireman,1,English
"CONWAY, Mr Percy Walter",25,Male,Victualling,Belfast,Saloon Steward (2nd class),0,English
"COOK, Mr Gilbert William",32,Male,Victualling,Southampton,Saloon Steward,0,English
"COOMBS, Mr Charles Augustus",45,Male,Victualling,Southampton,Assistant Cook,0,English
"COOPER, Mr H.",25,Male,Engineering,Southampton,Fireman,0,English
"COOPER, Mr James Edward",26,Male,Engineering,Southampton,Trimmer,0,English
"COPPERTHWAITE, Mr Albert Harry",28,Male,Engineering,Southampton,Fireman,0,English
"CORBEN, Mr Ernest Theodore",27,Male,Victualling,Southampton,Assistant Printer Steward,0,English
"CORCORAN, Mr Dennis",33,Male,Engineering,Southampton,Fireman,0,English
"CORNAIRE, Mr Marcel Raymond André",19,Male,Restaurant,Southampton,Assistant Roast Cook,0,French
"COTTON, Mr Alfred",35,Male,Engineering,Southampton,Trimmer,0,English
"COUCH, Mr Frank",27,Male,Deck,Southampton,Able Seaman,0,English
"COUCH, Mr Joseph Henry",49,Male,Engineering,Southampton,Greaser,0,English
"COUPER, Mr Robert Frederick William",30,Male,Engineering,Southampton,Fireman,1,English
"COUTIN, Mr Auguste Louis",28,Male,Restaurant,Southampton,Entrée Cook,0,French
"COX, Mr William Denton",30,Male,Victualling,Southampton,Third class steward,0,English
"COY, Mr Francis Ernest George",27,Male,Engineering,Belfast,Junior Assistant 3rd. Engineer,0,English
"CRABB, Mr Henry James",23,Male,Engineering,Southampton,Trimmer,0,English
"CRAFTER, Mr Frederick Horace",20,Male,Victualling,Southampton,Saloon Steward (1st class),1,English
"CRAWFORD, Mr Alfred George",43,Male,Victualling,Belfast,Bed Room Steward,1,English
"CREESE, Mr Henry Philip",45,Male,Engineering,Belfast,Deck Engineer,0,English
"CRIMMINS, Mr James",21,Male,Engineering,Southampton,Fireman,1,English
"CRISP, Mr Albert Hector",39,Male,Victualling,Belfast,Saloon Steward,0,English
"CRISPIN, Mr William",33,Male,Victualling,Southampton,Glory Hole Steward,0,English
"CROSBIE, Mr John Borthwick",45,Male,Victualling,Southampton,Turkish Bath Attendant,0,English
"CROSS, Mr William Alfred",44,Male,Engineering,Southampton,Fireman,0,English
"CROVELLA, Sig. Paolo Luigi",16,Male,Restaurant,Southampton,Assistant Waiter,0,Italian
"CROW, Mr George Frederick",26,Male,Victualling,Southampton,Saloon Steward,1,English
"CRUMPLIN, Mr Charles George Chandler",35,Male,Victualling,Belfast,Bed Room Steward,0,English
"CULLEN, Mr Charles James",49,Male,Victualling,Belfast,1st Class Bedroom Steward,1,English
"CUNNINGHAM, Mr Andrew Orr",38,Male,Victualling,Belfast,1st Class Bedroom Steward,1,Scottish
"CUNNINGHAM, Mr Bernard",35,Male,Engineering,Southampton,Fireman,0,English
"CURTIS, Mr Arthur",26,Male,Engineering,Southampton,Fireman,0,English
"DANIELS, Mr Sidney Edward",18,Male,Victualling,Southampton,Third class steward,1,English
"DASHWOOD, Mr William George",18,Male,Victualling,Southampton,Saloon Steward (2nd class),0,English
"DAVIES, Mr Gordon Raleigh",32,Male,Victualling,Belfast,1st Class Bedroom Steward,0,English
"DAVIES, Mr Robert J.",26,Male,Victualling,Belfast,Saloon Steward,0,Welsh
"DAVIES, Mr Thomas",33,Male,Engineering,Southampton,Leading Fireman,0,English
"DAVIS, Mr John",27,Male,Victualling,Belfast,Extra 2nd Baker,0,English
"DAVIS, Mr Stephen James",39,Male,Deck,Southampton,Able Seaman,0,English
"DAWSON, Mr Joseph",23,Male,Engineering,Southampton,Trimmer,0,Irish
"DE MARSICO, Sig. Govanni",20,Male,Restaurant,Southampton,Assistant Waiter,0,Italian
"DEAN, Mr George Fox Hopkins",19,Male,Victualling,Southampton,Assistant Saloon Steward,0,English
"DEBREUCQ, Mr Maurice Emile Victor",18,Male,Restaurant,Southampton,Assistant Waiter,0,French
"DEEBLE, Mr Alfred Arnold",34,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"DERRETT, Mr Arthur Henry",28,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"DESLANDES, Mr Percival Stainer",38,Male,Victualling,Southampton,Saloon Steward,0,English
"DESVERNINE, Mr Louis Gabriel",20,Male,Restaurant,Southampton,Assistant Pastry Cook,0,French
"DIAPER, Mr John Joseph",27,Male,Engineering,Southampton,Fireman,1,English
"DICKSON, Mr William",37,Male,Engineering,Southampton,Trimmer,0,English
"DILLON, Mr Thomas Patrick",33,Male,Engineering,Southampton,Trimmer,1,English
"DINENAGE, Mr James Richard",49,Male,Victualling,Southampton,Saloon Steward (1st class),0,English
"DODD, Mr Edward Charles",39,Male,Engineering,Belfast,Junior 3rd. Engineer,0,English
"DODD, Mr George Charles",44,Male,Victualling,Belfast,"Second Steward, 1st Class",0,English
"DODDS, Mr Henry Watson",26,Male,Engineering,Southampton,Junior Assistant 4th Engineer,0,Guyanese
"DOEL, Mr Frederick",22,Male,Engineering,Southampton,Fireman,1,English
"DOLBY, Mr Joseph",38,Male,Victualling,Belfast,Reception Steward (1st Class),0,English
"DONATI, Sig. Italo Francesco",17,Male,Restaurant,Southampton,Assistant Waiter,0,Italian
"DONOGHUE, Mr Florence Thomas",31,Male,Victualling,Belfast,Bed Room Steward,0,Irish
"DORE, Mr Albert James",22,Male,Engineering,Southampton,Trimmer,1,English
"DORNIER, Mr Louis Auguste",20,Male,Restaurant,Southampton,Assistant Fish Cook,0,French
"DOUGHTY, Mr Walter Thomas",22,Male,Victualling,Southampton,Saloon Steward (2nd class),0,English
"DOYLE, Mr Laurence",27,Male,Engineering,Southampton,Fireman,0,Irish
"DUFFY, Mr William Luke",36,Male,Engineering,Belfast,Writer / Engineer's Clerk,0,Irish
"DUNFORD, Mr William",48,Male,Victualling,Southampton,Hospital Steward,0,English
"DYER, Mr Henry Ryland",24,Male,Engineering,Belfast,Senior Assistant 4th. Engineer,0,English
"DYER, Mr William Henry",33,Male,Victualling,Southampton,Saloon Steward (1st class),0,English
"DYMOND, Mr Frank",36,Male,Engineering,Southampton,Fireman,1,English
"EAGLE, Mr Alfred James Jacob",27,Male,Engineering,Southampton,Trimmer,0,English
"EASTMAN, Mr Charles",44,Male,Engineering,Southampton,Greaser,0,English
"EDBROOKE, Mr Francis Samuel Jacob",23,Male,Victualling,Southampton,Third class steward,0,English
"EDE, Mr George Bulkeley",23,Male,Victualling,Southampton,3rd Class Steward,0,English
"EDGE, Mr Frederick William",39,Male,Victualling,Southampton,Deck Steward (2nd class),0,English
"EDWARDS, Mr Charles Essex",49,Male,Victualling,Southampton,Assistant Pantryman Steward (1st Class),0,Welsh
"EGG, Mr William Henry",48,Male,Victualling,Southampton,Third class steward,0,English
"ELLIOTT, Mr Everett Edward",23,Male,Engineering,Southampton,Trimmer,0,English
"ELLIS, Mr John Bertie",28,Male,Victualling,Southampton,Assistant Vegetable Cook,1,English
"ENNIS, Mr Walter",34,Male,Victualling,Southampton,Turkish Bath Attendant,0,English
"ERVINE, Mr Albert George",18,Male,Engineering,Belfast,Assistant Electrician,0,Irish
"ETCHES, Mr Henry Samuel",43,Male,Victualling,Belfast,First class bedroom steward,1,English
"EVANS, Mr Alfred Frank",25,Male,Deck,Southampton,Lookout,1,English
"EVANS, Mr Frank Oliver",27,Male,Deck,Southampton,Able Seaman,1,English
"EVANS, Mr George Richard",27,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"EVANS, Mr William Thomas",33,Male,Engineering,Southampton,Trimmer,0,English
"FAIRALL, Mr Henry Charles",40,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"FARENDEN, Mr Ernest John",22,Male,Victualling,Belfast,Confectioner,0,English
"FARQUHARSON, Mr William Edward",39,Male,Engineering,Belfast,Senior 2nd. Engineer,0,English
"FAULKNER, Mr William Stephen",37,Male,Victualling,Belfast,1st Class Bedroom Steward,1,English
"FAY, Mr Thomas Joseph",30,Male,Engineering,Southampton,Greaser,0,English
"FEI, Sig. Carlo",19,Male,Restaurant,Southampton,Scullion,0,Italian
"FELLOWES, Mr Alfred James",28,Male,Victualling,Belfast,Assistant boots steward (1st class),0,English
"FELTHAM, Mr George William",41,Male,Victualling,Southampton,Vienna Baker,0,English
"FERRARY, Mr Antonio",33,Male,Engineering,Southampton,Trimmer,0,"Mexican, American, English"
"FERRIS, Mr William",39,Male,Engineering,Southampton,Leading Fireman,0,English
"FINCH, Mr Henry Herman",18,Male,Victualling,Southampton,Steward (3rd Class),0,English
"FIORAVANTE, Sig. Giuseppe Bertoldo",23,Male,Restaurant,Southampton,Assistant Scullion,0,Italian
"FITZPATRICK, Mr Cecil William",21,Male,Engineering,Southampton,Mess Steward,1,Irish
"FITZPATRICK, Mr Hugh Joseph",29,Male,Engineering,Belfast,Junior Boilermaker,0,English
"FLAHERTY, Mr Edward",52,Male,Engineering,Southampton,Fireman,1,English
"FLEET, Mr Frederick",24,Male,Deck,Belfast,Lookout,1,English
"FLETCHER, Mr Percy William",25,Male,Victualling,Belfast,Bugler Steward,0,English
"FOLEY, Mr John",46,Male,Deck,Belfast,Deck storekeeper,1,Irish
"FOLEY, Mr Wilfred Cyril",21,Male,Victualling,Southampton,3rd Class Steward,1,Welsh
"FORD, Mr Ernest",33,Male,Victualling,Southampton,3rd Class Steward,0,English
"FORD, Mr Francis",44,Male,Victualling,Southampton,Bedroom Steward (2nd class),0,English
"FORD, Mr H.",22,Male,Engineering,Southampton,Trimmer,0,English
"FORD, Mr Thomas",33,Male,Engineering,Southampton,Leading Fireman,0,English
"FORWARD, Mr James",27,Male,Deck,Southampton,Able Seaman,1,English
"FOSTER, Mr Alfred Charles",37,Male,Engineering,Belfast,Storekeeper (Engineering),0,English
"FOX, Mr William Thomas",27,Male,Victualling,Southampton,Steward,0,English
"FRANKLIN, Mr Alan Vincent",28,Male,Victualling,Southampton,Saloon Steward (2nd class),0,English
"FRASER, Mr J.",30,Male,Engineering,Southampton,Fireman,0,
"FRASER, Mr James",30,Male,Engineering,Belfast,Junior Assistant 3rd. Engineer,0,Scottish
"FREDERICKS, Mr Walter Francis",21,Male,Engineering,Southampton,Trimmer,1,English
"FREEMAN, Mr Ernest Edward Samuel",45,Male,Victualling,Belfast,Deck Steward (1st Class),0,English
"FRYER, Mr Albert Ernest",29,Male,Engineering,Southampton,Trimmer,1,English
"GATTI, Sig. Gaspare Antonio Pietro",37,Male,Restaurant,Southampton,Ã  la Carte Restaurant Manager,0,Italian
"GEDDES, Mr Richard Charles",32,Male,Victualling,Southampton,Bed Room Steward (1st class),0,English
"GEER, Mr Alfred Emest",26,Male,Engineering,Southampton,Fireman,0,English
"GIBBONS, Mr Jacob William",36,Male,Victualling,Southampton,Second Class Steward,1,English
"GILARDINO, Sig. Vincenzo Pio",31,Male,Restaurant,Southampton,Waiter,0,Italian
"GILES, Mr John Robert",32,Male,Victualling,Southampton,2nd Baker,0,English
"GILL, Mr Joseph Stanley",38,Male,Victualling,Belfast,Bed Room Steward,0,English
"GILL, Mr Patrick",38,Male,Victualling,Southampton,Ship's Cook,0,Irish
"GODLEY, Mr George Auguste",38,Male,Engineering,Southampton,Fireman,1,English
"GODWIN, Mr Frederick Charles",36,Male,Engineering,Southampton,Greaser,0,English
"GOLD, Mrs Jane Kate Coulson",45,Female,Victualling,Southampton,Stewardess,1,English
"GOLDER, Mr Martin William",35,Male,Engineering,Southampton,Fireman,0,English
"GOLLOP, Mr Percival Salisbury",30,Male,Victualling,Southampton,Assistant Passage Cook,0,English
"GORDON, Mr John",30,Male,Engineering,Southampton,Trimmer,0,Scottish
"GOREE, Mr Frank",40,Male,Engineering,Southampton,Greaser,0,English
"GOSHAWK, Mr Alfred James",40,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"GOSLING, Mr Bertram James",22,Male,Engineering,Southampton,Trimmer,0,English
"GOSLING, Mr Frank Henry",25,Male,Engineering,Southampton,Trimmer,0,English
"GRADIDGE, Mr Ernest Edward",22,Male,Engineering,Southampton,Fireman,0,English
"GRAHAM, Mr Thomas Gibson",28,Male,Engineering,Belfast,Fireman,1,Irish
"GREEN, Mr George",20,Male,Engineering,Southampton,Trimmer,0,English
"GREGORY, Mr David",43,Male,Engineering,Southampton,Greaser,0,English
"GREGSON, Miss Mary Josephine",45,Female,Victualling,Southampton,Stewardess,1,English
"GROSCLAUDE, Mr Gérald",24,Male,Restaurant,Southampton,Waiter,0,Swiss
"GUMERY, Mr George",24,Male,Engineering,Southampton,Mess Steward,0,English
"GUNN, Mr Joseph Alfred",30,Male,Victualling,Southampton,Assistant Saloon Steward (2nd Class),0,English
"GUY, Mr Elgar John",29,Male,Victualling,Southampton,Boots,1,English
"GWINN, Mr William Logan",37,Male,Postal Clerk,Southampton,Postal Clerk / Postman,0,American
"HAGGAN, Mr John",35,Male,Engineering,Belfast,Fireman,1,Irish
"HAINES, Mr Albert",31,Male,Deck,Belfast,Boatswain Mate,1,English
"HALFORD, Mr Richard",27,Male,Victualling,Southampton,3rd Class Steward,1,English
